datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200,ema10,ema20,ema50,ema100,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2017-09-10 08:00:00,Binance:ETHUSDT,296.72,302.78,261.03,293.5,4156.45099,,323.2,333.92,,,,317.72,322.95,,,,364.3117592503835,303.53724074961644,394.69901850076695,273.149981499233
2017-09-11 08:00:00,Binance:ETHUSDT,293.5,304.98,285.21,297.3,4829.64647,,314.08,333.3,,,,314.0,320.5,,,,364.2989036192636,302.3000963807363,395.2983072385273,271.30069276147265
2017-09-12 08:00:00,Binance:ETHUSDT,297.3,316.46,286.01,293.96,5176.31402,,309.16,332.21,,,,310.36,317.98,,,,364.17516978947214,300.2458302105279,396.13983957894425,268.2811604210558
2017-09-13 08:00:00,Binance:ETHUSDT,293.96,294.5,257.05,276.91,6451.22836,41.243025,302.68,329.88,,,,304.28,314.07,,,,364.0226007504921,295.7473992495079,398.16020150098416,261.6097984990158
2017-09-14 08:00:00,Binance:ETHUSDT,276.91,283.77,215.0,215.21,12601.95676,42.406836,295.82,324.28,,,,288.08,304.65,,,,366.6056805056166,281.9613194943834,408.92786101123323,239.63913898876677
2017-09-15 08:00:00,Binance:ETHUSDT,217.0,270.93,192.0,253.0,14223.8953,43.716761,289.91,320.39,,,,281.7,299.73,,,,365.42719768792773,275.3608023120723,410.46039537585546,230.32760462414453
2017-09-16 08:00:00,Binance:ETHUSDT,255.99,271.81,235.51,249.31,10362.06011,44.897475,281.34,315.45,,,,275.81,294.93,,,,362.5460767841727,268.35992321582734,409.63915356834536,221.2668464316547
2017-09-17 08:00:00,Binance:ETHUSDT,249.31,264.39,239.02,257.55,4614.53337,45.993851,273.65,311.03,,,,272.49,291.37,,,,359.18837874013957,262.87262125986047,407.34625748027906,214.71474251972097
2017-09-18 08:00:00,Binance:ETHUSDT,257.55,306.22,257.11,294.57,4125.97051,45.339202,272.81,307.02,,,,276.51,291.67,,,,353.0021076600593,261.0458923399407,398.9802153201186,215.0677846798814
2017-09-19 08:00:00,Binance:ETHUSDT,294.57,300.0,277.41,284.0,1869.90852,44.731313,271.53,301.93,,,,277.87,290.94,,,,344.39171386002556,259.46328613997446,386.85592772005117,216.99907227994885
2017-09-20 08:00:00,Binance:ETHUSDT,284.01,294.0,275.91,282.0,1060.56734,44.194103,270.38,296.79,,,,278.62,290.09,,,,334.9107040751307,258.6652959248693,373.0334081502614,220.54259184973867
2017-09-21 08:00:00,Binance:ETHUSDT,282.0,287.0,252.1,257.0,1912.55583,44.115058,266.35,290.22,,,,274.69,286.94,,,,322.9121360366618,257.51786396333824,355.60927207332367,224.8207279266764
2017-09-22 08:00:00,Binance:ETHUSDT,257.0,272.97,253.01,264.0,1464.5125,44.041658,263.36,286.26,,,,272.75,284.76,,,,317.04360355101056,255.47239644898937,347.8292071020212,224.68679289797876
2017-09-23 08:00:00,Binance:ETHUSDT,264.0,286.23,255.11,285.93,2824.33572,43.390849,264.26,283.47,,,,275.14,284.87,,,,311.4996296972044,255.43237030279565,339.53325939440873,227.39874060559129
2017-09-24 08:00:00,Binance:ETHUSDT,285.93,294.61,275.0,282.0,5575.54422,42.426552,270.94,283.38,,,,276.39,284.59,,,,311.41282412421896,255.34217587578092,339.448148248438,227.30685175156194
2017-09-25 08:00:00,Binance:ETHUSDT,282.0,299.0,281.34,294.42,5870.48035,41.339669,275.08,282.49,,,,279.67,285.53,,,,309.8815023322683,255.1064976677316,337.26900466453674,227.7189953354632
