index,datetime,open,high,low,close,volume
99,2025-05-15 00:00:00,2609.93,2646.3,2560.0,2575.6,12761465.9307
98,2025-05-15 04:00:00,2575.1,2631.32,2520.0,2574.14,8987504.142195
97,2025-05-15 08:00:00,2573.6,2590.0,2517.14,2554.91,11855720.129749
96,2025-05-15 12:00:00,2554.81,2590.1,2479.99,2564.21,25845668.905084
95,2025-05-15 16:00:00,2563.9,2624.84,2500.0,2529.5,21526564.981462
94,2025-05-15 20:00:00,2529.52,2564.34,2500.0,2548.66,13531942.33744
93,2025-05-16 00:00:00,2548.73,2589.39,2510.0,2580.8,16857731.32224
92,2025-05-16 04:00:00,2580.8,2620.0,2553.6,2600.95,15352951.3739
91,2025-05-16 08:00:00,2600.95,2647.18,2559.0,2620.6,14646806.267108
90,2025-05-16 12:00:00,2620.8,2622.84,2559.09,2595.2,19218895.236813
89,2025-05-16 16:00:00,2595.21,2601.6,2560.0,2593.8,14469222.46086
88,2025-05-16 20:00:00,2593.96,2593.96,2530.92,2537.49,12624630.459995
87,2025-05-17 00:00:00,2537.38,2540.0,2453.26,2496.59,21399667.54432
86,2025-05-17 04:00:00,2497.39,2513.3,2475.51,2493.0,12452727.282639
85,2025-05-17 08:00:00,2493.11,2496.19,2460.6,2481.99,12948311.546176
84,2025-05-17 12:00:00,2481.9,2486.89,2448.14,2474.76,14350317.264611
83,2025-05-17 16:00:00,2474.6,2489.05,2448.91,2470.65,13760789.799331
82,2025-05-17 20:00:00,2470.27,2495.71,2453.82,2475.51,10774507.505128
81,2025-05-18 00:00:00,2475.51,2488.0,2454.47,2477.58,10095315.829825
80,2025-05-18 04:00:00,2477.78,2513.9,2477.43,2509.21,11505508.708213
79,2025-05-18 08:00:00,2509.72,2528.49,2499.2,2502.01,12181996.76857
78,2025-05-18 12:00:00,2501.83,2587.03,2488.5,2579.5,2323097.367146
77,2025-05-18 16:00:00,2580.16,2584.31,2404.02,2408.69,34766.237265
76,2025-05-18 20:00:00,2408.67,2506.66,2324.31,2497.61,31751.559654
75,2025-05-19 00:00:00,2495.83,2513.0,2359.02,2376.3,11540.18368
74,2025-05-19 04:00:00,2371.42,2421.05,2327.56,2403.9,7171445.399379
73,2025-05-19 08:00:00,2403.9,2428.07,2390.62,2417.47,11832675.563206
72,2025-05-19 12:00:00,2417.39,2472.9,2385.41,2466.32,17023159.268014
71,2025-05-19 16:00:00,2467.0,2546.73,2452.38,2519.9,17884308.284892
70,2025-05-19 20:00:00,2518.79,2533.88,2493.07,2527.79,8898538.272591
69,2025-05-20 00:00:00,2528.0,2586.0,2510.71,2553.26,16884198.815844
68,2025-05-20 04:00:00,2553.26,2579.95,2522.07,2532.8,13282489.812173
67,2025-05-20 08:00:00,2532.91,2559.73,2494.1,2514.41,13540351.627166
66,2025-05-20 12:00:00,2513.9,2515.02,2464.81,2482.97,15112070.806293
65,2025-05-20 16:00:00,2482.97,2528.79,2445.19,2502.01,15747835.077606
64,2025-05-20 20:00:00,2501.6,2541.0,2485.42,2524.21,11846757.288589
63,2025-05-21 00:00:00,2524.29,2554.63,2509.56,2545.01,12866155.283089
62,2025-05-21 04:00:00,2545.0,2613.9,2534.77,2551.67,16521789.841415
61,2025-05-21 08:00:00,2553.37,2562.21,2513.33,2536.93,12434080.588847
60,2025-05-21 12:00:00,2536.93,2580.9,2500.0,2567.11,19377199.638036
59,2025-05-21 16:00:00,2567.11,2614.57,2453.0,2512.1,28409139.983643
58,2025-05-21 20:00:00,2511.8,2597.2,2487.44,2551.06,12957679.102364
57,2025-05-22 00:00:00,2552.51,2648.57,2534.21,2629.4,20918742.614134
56,2025-05-22 04:00:00,2629.39,2647.76,2602.77,2633.81,19228844.892964
55,2025-05-22 08:00:00,2634.74,2700.0,2627.07,2651.9,22033125.289653
54,2025-05-22 12:00:00,2651.08,2679.99,2625.8,2664.01,21994280.533839
53,2025-05-22 16:00:00,2665.4,2680.97,2603.49,2634.19,17675928.685602
52,2025-05-22 20:00:00,2635.07,2666.58,2628.3,2664.7,12001252.783191
51,2025-05-23 00:00:00,2665.64,2733.47,2600.0,2722.51,19628012.213867
50,2025-05-23 04:00:00,2722.28,2731.97,2651.47,2655.73,18596260.629886
49,2025-05-23 08:00:00,2655.73,2688.69,2551.96,2560.66,18088629.62931
48,2025-05-23 12:00:00,2565.13,2592.0,2502.09,2568.06,23377907.578617
47,2025-05-23 16:00:00,2568.26,2599.47,2547.05,2560.09,15408311.153604
46,2025-05-23 20:00:00,2560.84,2563.71,2503.98,2526.68,16179146.921939
45,2025-05-24 00:00:00,2526.3,2565.81,2515.6,2549.83,14288722.808838
44,2025-05-24 04:00:00,2549.99,2563.71,2536.1,2547.24,11585600.385845
43,2025-05-24 08:00:00,2547.24,2578.19,2545.4,2563.01,10608627.868159
42,2025-05-24 12:00:00,2563.01,2587.4,2543.55,2555.64,11704298.64824
41,2025-05-24 16:00:00,2555.58,2568.57,2543.99,2554.48,9977474.370267
40,2025-05-24 20:00:00,2554.49,2558.02,2459.1,2529.05,11015970.858064
39,2025-05-25 00:00:00,2529.39,2552.29,2471.21,2513.24,5010255.082793
38,2025-05-25 04:00:00,2513.1,2559.73,2488.2,2494.72,45890.891125
37,2025-05-25 08:00:00,2494.9,2525.98,2466.09,2497.84,13754.124102
36,2025-05-25 12:00:00,2497.7,2550.84,2475.0,2511.42,17137.485665
35,2025-05-25 16:00:00,2511.6,2547.6,2496.37,2526.54,38007.480465
34,2025-05-25 20:00:00,2526.54,2559.37,2508.1,2551.43,12961.161844
33,2025-05-26 00:00:00,2555.71,2576.55,2539.89,2559.87,2889841.835299
32,2025-05-26 04:00:00,2560.17,2598.57,2557.51,2580.62,12032369.751317
31,2025-05-26 08:00:00,2580.69,2582.7,2550.28,2567.92,11158373.999162
30,2025-05-26 12:00:00,2567.93,2580.0,2500.0,2565.85,13902596.548789
29,2025-05-26 16:00:00,2564.43,2573.37,2526.67,2541.96,12161859.367402
28,2025-05-26 20:00:00,2541.02,2583.95,2536.8,2563.97,10763108.192048
27,2025-05-27 00:00:00,2563.81,2573.7,2510.0,2549.1,14646097.620637
26,2025-05-27 04:00:00,2549.1,2618.74,2547.97,2607.0,14616513.396863
25,2025-05-27 08:00:00,2607.47,2654.66,2602.14,2652.01,14090369.693169
