index,datetime,open,high,low,close,volume
99,2025-05-15 00:00:00,103500.1,103864.6,102712.8,102748.3,487682.64491345
98,2025-05-15 04:00:00,102745.6,102972.1,102100.0,102264.0,351626.38094198
97,2025-05-15 08:00:00,102264.0,102442.5,101521.7,102389.3,533042.93973378
96,2025-05-15 12:00:00,102366.9,103280.0,101394.0,103250.0,1841036.63610725
95,2025-05-15 16:00:00,103254.9,104190.1,102566.3,103134.0,1491466.07863497
94,2025-05-15 20:00:00,103159.9,103982.0,102710.6,103769.1,734914.41090191
93,2025-05-16 00:00:00,103769.9,105153.2,103471.5,104024.8,19418880.17023646
92,2025-05-16 04:00:00,104024.8,104555.4,103694.0,103705.1,4124865.5538046
91,2025-05-16 08:00:00,103705.1,103912.9,103103.9,103669.8,609073.28424735
90,2025-05-16 12:00:00,103672.0,104279.4,103341.5,104187.9,1243045.29051693
89,2025-05-16 16:00:00,104188.0,104552.5,103585.6,104052.1,1887025.46692746
88,2025-05-16 20:00:00,104025.5,104036.0,103330.9,103460.2,2013018.43134845
87,2025-05-17 00:00:00,103460.0,103544.8,102000.0,103500.5,24085509.60176527
86,2025-05-17 04:00:00,103500.5,103729.1,103286.0,103448.0,571914.77214395
85,2025-05-17 08:00:00,103450.0,103571.3,102760.1,102995.9,633480.99236354
84,2025-05-17 12:00:00,103000.0,103187.9,102618.5,102950.0,573082.94841723
83,2025-05-17 16:00:00,102950.1,103362.2,102763.0,103153.1,461689.46294972
82,2025-05-17 20:00:00,103145.1,103479.9,102901.1,103133.7,472338.74751816
81,2025-05-18 00:00:00,103133.6,103419.4,103100.1,103282.5,300173.91062541
80,2025-05-18 04:00:00,103282.6,103976.2,103279.6,103924.1,191267.29868329
79,2025-05-18 08:00:00,103928.0,104086.0,103790.0,103803.8,267714.97212811
78,2025-05-18 12:00:00,103803.9,105666.2,103666.0,105512.9,30228.10384041
77,2025-05-18 16:00:00,105515.9,106205.2,103803.4,103897.5,1291.7204889
76,2025-05-18 20:00:00,103897.6,106660.1,103200.0,106457.3,3058.00826505
