datetime,symbol,open,high,low,close,volume
2024-08-29 01:04:00,Binance:BTCUSDT,59106.0,59110.33,59079.24,59085.98,15.3031
2024-08-29 01:05:00,Binance:BTCUSDT,59085.98,59109.94,59062.0,59092.57,21.63165
2024-08-29 01:06:00,Binance:BTCUSDT,59092.57,59092.58,59058.0,59074.0,14.09232
2024-08-29 01:07:00,Binance:BTCUSDT,59074.0,59171.0,59074.0,59170.99,16.94719
2024-08-29 01:08:00,Binance:BTCUSDT,59170.99,59249.27,59170.0,59170.0,42.85478
2024-08-29 01:09:00,Binance:BTCUSDT,59170.0,59224.0,59162.0,59223.98,13.57067
2024-08-29 01:10:00,Binance:BTCUSDT,59223.98,59223.98,59126.11,59140.0,15.07412
2024-08-29 01:11:00,Binance:BTCUSDT,59140.0,59170.0,59108.52,59165.0,15.76759
2024-08-29 01:12:00,Binance:BTCUSDT,59165.01,59165.01,59086.0,59096.0,16.42994
2024-08-29 01:13:00,Binance:BTCUSDT,59096.01,59106.76,59061.1,59088.72,27.47439
2024-08-29 01:14:00,Binance:BTCUSDT,59088.72,59115.64,59020.0,59042.01,31.56774
2024-08-29 01:15:00,Binance:BTCUSDT,59042.0,59042.01,58950.0,58964.0,19.22984
2024-08-29 01:16:00,Binance:BTCUSDT,58964.0,58981.1,58831.1,58890.0,71.2589
2024-08-29 01:17:00,Binance:BTCUSDT,58890.0,58890.0,58802.37,58828.0,35.98315
2024-08-29 01:18:00,Binance:BTCUSDT,58828.0,58941.0,58814.06,58903.99,25.2723
2024-08-29 01:19:00,Binance:BTCUSDT,58904.0,58980.0,58904.0,58951.77,21.64993
2024-08-29 01:20:00,Binance:BTCUSDT,58951.77,58951.77,58864.31,58873.07,14.89767
2024-08-29 01:21:00,Binance:BTCUSDT,58873.06,58873.07,58756.0,58764.01,29.95284
2024-08-29 01:22:00,Binance:BTCUSDT,58764.0,58810.0,58745.0,58787.99,28.22789
2024-08-29 01:23:00,Binance:BTCUSDT,58788.0,58790.0,58749.0,58752.0,13.611
2024-08-29 01:24:00,Binance:BTCUSDT,58751.99,58784.99,58751.99,58774.83,15.63746
2024-08-29 01:25:00,Binance:BTCUSDT,58774.84,58814.7,58769.01,58806.98,18.45665
2024-08-29 01:26:00,Binance:BTCUSDT,58806.99,58822.0,58788.0,58822.0,7.35773
2024-08-29 01:27:00,Binance:BTCUSDT,58822.0,58910.0,58822.0,58909.99,9.9314
2024-08-29 01:28:00,Binance:BTCUSDT,58910.0,58910.97,58817.8,58817.8,8.77244
2024-08-29 01:29:00,Binance:BTCUSDT,58817.79,58822.99,58790.0,58807.0,7.82148
2024-08-29 01:30:00,Binance:BTCUSDT,58807.0,58861.08,58796.3,58843.02,11.40468
2024-08-29 01:31:00,Binance:BTCUSDT,58843.01,58869.99,58842.0,58869.99,9.86395
2024-08-29 01:32:00,Binance:BTCUSDT,58869.98,58895.0,58841.1,58842.99,20.46514
2024-08-29 01:33:00,Binance:BTCUSDT,58843.0,58848.0,58767.45,58767.45,19.00577
2024-08-29 01:34:00,Binance:BTCUSDT,58767.45,58809.0,58744.0,58808.99,15.38581
2024-08-29 01:35:00,Binance:BTCUSDT,58808.99,58875.0,58808.99,58872.36,13.27876
2024-08-29 01:36:00,Binance:BTCUSDT,58872.36,58888.0,58849.01,58887.99,9.74914
2024-08-29 01:37:00,Binance:BTCUSDT,58888.0,58960.77,58887.99,58959.0,14.51819
2024-08-29 01:38:00,Binance:BTCUSDT,58959.0,58985.91,58940.24,58940.25,14.24425
2024-08-29 01:39:00,Binance:BTCUSDT,58940.25,58944.69,58858.01,58858.01,12.14485
2024-08-29 01:40:00,Binance:BTCUSDT,58858.0,58886.0,58842.83,58879.43,8.52058
2024-08-29 01:41:00,Binance:BTCUSDT,58879.44,59075.0,58879.44,59046.52,34.15625
2024-08-29 01:42:00,Binance:BTCUSDT,59046.52,59051.15,58993.25,59004.01,12.13539
2024-08-29 01:43:00,Binance:BTCUSDT,59004.0,59027.0,58993.0,59027.0,12.55689
2024-08-29 01:44:00,Binance:BTCUSDT,59026.99,59071.1,59026.99,59048.0,12.9897
2024-08-29 01:45:00,Binance:BTCUSDT,59048.01,59060.0,59036.34,59053.41,22.89671
2024-08-29 01:46:00,Binance:BTCUSDT,59053.41,59077.52,59046.51,59065.0,21.6033
2024-08-29 01:47:00,Binance:BTCUSDT,59065.0,59084.0,59042.24,59059.99,13.31258
2024-08-29 01:48:00,Binance:BTCUSDT,59059.99,59060.0,58992.73,59001.1,17.49632
2024-08-29 01:49:00,Binance:BTCUSDT,59001.1,59009.0,58950.0,58960.0,13.34439
2024-08-29 01:50:00,Binance:BTCUSDT,58960.0,58996.0,58953.48,58994.44,9.80714
2024-08-29 01:51:00,Binance:BTCUSDT,58995.0,58995.0,58953.48,58964.73,10.31041
2024-08-29 01:52:00,Binance:BTCUSDT,58964.73,58970.0,58860.46,58860.47,24.42776
2024-08-29 01:53:00,Binance:BTCUSDT,58860.47,58860.47,58800.0,58808.0,18.24458
2024-08-29 01:54:00,Binance:BTCUSDT,58807.99,58814.72,58740.96,58746.52,19.22523
2024-08-29 01:55:00,Binance:BTCUSDT,58746.53,58765.47,58726.34,58756.0,14.77391
2024-08-29 01:56:00,Binance:BTCUSDT,58756.0,58770.39,58714.93,58767.44,34.85431
2024-08-29 01:57:00,Binance:BTCUSDT,58767.45,58770.35,58642.4,58654.43,123.00253
2024-08-29 01:58:00,Binance:BTCUSDT,58654.43,58685.0,58638.0,58650.71,25.93157
2024-08-29 01:59:00,Binance:BTCUSDT,58650.71,58659.99,58636.47,58650.0,16.91048
2024-08-29 02:00:00,Binance:BTCUSDT,58650.0,58661.1,58597.66,58627.82,36.17202
2024-08-29 02:01:00,Binance:BTCUSDT,58627.81,58720.0,58616.0,58711.0,25.99348
2024-08-29 02:02:00,Binance:BTCUSDT,58711.01,58751.1,58701.1,58742.0,12.82434
2024-08-29 02:03:00,Binance:BTCUSDT,58742.0,58750.0,58657.84,58680.0,12.27199
2024-08-29 02:04:00,Binance:BTCUSDT,58680.0,58722.93,58653.0,58722.92,10.08571
2024-08-29 02:05:00,Binance:BTCUSDT,58722.92,58838.0,58711.0,58822.0,18.41693
2024-08-29 02:06:00,Binance:BTCUSDT,58822.0,58844.0,58804.44,58819.0,13.30727
2024-08-29 02:07:00,Binance:BTCUSDT,58819.0,58819.0,58734.0,58772.01,35.42493
2024-08-29 02:08:00,Binance:BTCUSDT,58772.0,58772.0,58711.1,58725.0,15.37511
2024-08-29 02:09:00,Binance:BTCUSDT,58725.0,58869.0,58724.99,58835.07,52.36222
2024-08-29 02:10:00,Binance:BTCUSDT,58835.07,58892.85,58822.0,58892.85,81.07784
2024-08-29 02:11:00,Binance:BTCUSDT,58892.84,58897.53,58851.1,58851.11,11.89151
2024-08-29 02:12:00,Binance:BTCUSDT,58851.11,58963.0,58851.11,58901.0,98.83942
2024-08-29 02:13:00,Binance:BTCUSDT,58901.0,58911.0,58868.0,58883.98,22.00094
2024-08-29 02:14:00,Binance:BTCUSDT,58883.98,58925.01,58883.98,58887.1,16.33056
2024-08-29 02:15:00,Binance:BTCUSDT,58887.1,58902.0,58861.1,58877.0,13.45613
2024-08-29 02:16:00,Binance:BTCUSDT,58877.0,58878.0,58827.87,58852.04,8.08024
2024-08-29 02:17:00,Binance:BTCUSDT,58852.04,58887.0,58835.0,58885.0,8.91925
2024-08-29 02:18:00,Binance:BTCUSDT,58885.0,58966.36,58873.0,58963.23,12.70471
2024-08-29 02:19:00,Binance:BTCUSDT,58963.23,58988.0,58924.01,58925.46,9.98382
2024-08-29 02:20:00,Binance:BTCUSDT,58925.46,59013.0,58925.45,58999.02,27.43392
2024-08-29 02:21:00,Binance:BTCUSDT,58999.02,59039.83,58989.0,58999.99,15.19697
2024-08-29 02:22:00,Binance:BTCUSDT,58999.99,59046.51,58991.0,59046.51,10.76865
2024-08-29 02:23:00,Binance:BTCUSDT,59046.51,59096.78,59036.0,59096.77,37.95066
2024-08-29 02:24:00,Binance:BTCUSDT,59096.77,59100.0,59080.0,59080.01,8.67705
2024-08-29 02:25:00,Binance:BTCUSDT,59080.0,59130.49,59057.0,59086.0,102.83646
