datetime,symbol,open,high,low,close,volume,adx,sma10,ema10,sma20,ema20,sma50,ema50,sma100,ema100,sma200,ema200,upper_band1,lower_band1,upper_band2,lower_band2
2022-08-31 16:00:00,Binance:BTCUSDT,20258.09,20410.21,20123.09,20314.78,46273.02503,,,,,,,,,,,,,,,
2022-08-31 20:00:00,Binance:BTCUSDT,20314.78,20423.38,19870.0,20140.63,69387.69551,,,,,,,,,,,,,,,
2022-09-01 00:00:00,Binance:BTCUSDT,20142.26,20328.46,19881.22,20228.57,49128.3389,,,,,,,,,,,,,,,
2022-09-01 04:00:00,Binance:BTCUSDT,20228.57,20299.97,19966.0,20050.02,28163.77764,,,,,,,,,,,,,,,
2022-09-01 08:00:00,Binance:BTCUSDT,20048.44,20208.37,19917.01,20022.97,35505.13886,,,,,,,,,,,,,,,
2022-09-01 12:00:00,Binance:BTCUSDT,20023.82,20139.0,19801.38,19895.66,35973.35157,,,,,,,,,,,,,,,
2022-09-01 16:00:00,Binance:BTCUSDT,19894.97,20126.23,19820.6,20074.01,40982.81672,,,,,,,,,,,,,,,
2022-09-01 20:00:00,Binance:BTCUSDT,20074.91,20096.39,19652.79,19782.59,58172.52468,,,,,,,,,,,,,,,
2022-09-02 00:00:00,Binance:BTCUSDT,19783.03,19938.0,19565.66,19871.68,44073.56909,,,,,,,,,,,,,,,
2022-09-02 04:00:00,Binance:BTCUSDT,19871.68,20180.0,19841.45,20131.46,30582.54484,,20051.24,20051.24,,,,,,,,,,,,
2022-09-02 08:00:00,Binance:BTCUSDT,20132.64,20245.89,19957.78,20157.01,30343.55359,,20035.46,20070.47,,,,,,,,,,,,
2022-09-02 12:00:00,Binance:BTCUSDT,20157.01,20298.0,20037.14,20111.24,29629.83037,,20032.52,20077.88,,,,,,,,,,,,
2022-09-02 16:00:00,Binance:BTCUSDT,20111.24,20179.19,19991.0,20090.81,29418.89765,,20018.74,20080.23,,,,,,,,,,,,
2022-09-02 20:00:00,Binance:BTCUSDT,20090.81,20441.26,20020.06,20355.85,68960.92967,,20049.33,20130.34,,,,,,,,,,,,
2022-09-03 00:00:00,Binance:BTCUSDT,20355.85,20387.3,19755.29,19910.43,64356.56312,,20038.07,20090.36,,,,,,,,,,,,
2022-09-03 04:00:00,Binance:BTCUSDT,19909.23,20026.66,19858.4,19951.86,23276.8289,,20043.69,20065.18,,,,,,,,,,,,
2022-09-03 08:00:00,Binance:BTCUSDT,19950.98,20055.93,19866.77,19899.69,25987.89995,,20026.26,20035.09,,,,,,,,,,,,
2022-09-03 12:00:00,Binance:BTCUSDT,19899.69,19968.11,19754.77,19815.63,23401.70682,,20029.57,19995.19,,,,,,,,,,,,
2022-09-03 16:00:00,Binance:BTCUSDT,19815.63,19868.86,19726.1,19798.76,27168.875,,20022.27,19959.47,,,,,,,,,,,,
2022-09-03 20:00:00,Binance:BTCUSDT,19798.73,19904.68,19748.88,19772.95,24593.00049,,19986.42,19925.56,20018.83,20018.83,,,,,,,20189.530167721197,19848.1298322788,20360.2303354424,19677.429664557596
2022-09-04 00:00:00,Binance:BTCUSDT,19772.95,19835.0,19652.72,19710.0,27439.06077,,19941.72,19886.37,19988.59,19989.42,,,,,,,20157.74663383788,19819.435366162113,20326.902267675763,19650.27973232423
2022-09-04 04:00:00,Binance:BTCUSDT,19710.0,19850.0,19677.29,19831.9,18048.48901,,19913.79,19876.46,19973.15,19974.42,,,,,,,20141.817339786583,19804.49166021341,20310.48017957317,19635.828820426825
2022-09-04 08:00:00,Binance:BTCUSDT,19832.45,19861.94,19740.07,19772.79,16305.78804,,19881.99,19857.61,19950.37,19955.21,,,,,,,20113.684995973,19787.046004026994,20277.004491946,19623.72650805399
